DATE_SEPARATION,AGE_GROUP,AGE_VALUE,EDUCATION,EDUCATION_LEVEL,TEMPS_DE_SERVICE,POSTE_OCCUPATION_CTG,POSTE_OCCUPATION,OCCUPATION_CATEGORY,SALARY_LEVEL_CTG,SALARY_LEVEL,AVERAGE_SALARY,LENGTH_OF_SERVICE,WORK_SCHEDULE,WORK_SCHEDULE_CTG,SEPARATION_CATEGORY
08-01-21,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"60,000 - 69,999",69999,66142.0,6.5,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,30.0-34,34,13,BACHELORS,4,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,76832.0,4.1,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,30.0-34,34,17,MASTERS,4,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,86335.0,3.2,Full-time,F-Full-time Nonseasonal,Autre
10-01-20,30.0-34,34,17,MASTERS,4,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,86335.0,3.3,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-22,30.0-34,34,15,POST-BACHELORS,4,White Collar,0905-GENERAL ATTORNEY,Professional,"110,000 - 119,999",119999,110384.0,4.6,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-20,25.0-29,29,17,MASTERS,2,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,72030.0,1.8,Full-time,F-Full-time Nonseasonal,Autre
04-01-22,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,77447.0,5.0,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,30.0-34,34,13,BACHELORS,9,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,77447.0,5.0,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-23,40.0-44,44,17,MASTERS,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"140,000 - 149,999",149999,145604.0,16.3,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-23,30.0-34,34,21,DOCTORATE,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"110,000 - 119,999",119999,112015.0,3.7,Full-time,F-Full-time Nonseasonal,Autre
02-01-23,25.0-29,29,13,BACHELORS,2,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,78592.0,2.9,Full-time,F-Full-time Nonseasonal,Autre
07-01-23,40.0-44,44,13,BACHELORS,4,White Collar,1035-PUBLIC AFFAIRS,Administrative,"130,000 - 139,999",139999,132368.0,3.4,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-23,25.0-29,29,13,BACHELORS,2,White Collar,1109-GRANTS MANAGEMENT,Administrative,"70,000 - 79,999",79999,78592.0,2.3,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,45.0-49,49,4,,1,White Collar,1109-GRANTS MANAGEMENT,Administrative,"80,000 - 89,999",89999,89834.0,0.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,60.0-64,64,4,,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"70,000 - 79,999",79999,77396.0,16.8,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,60.0-64,64,17,MASTERS,19,White Collar,1101-GENERAL BUSINESS AND INDUSTRY,Administrative,"150,000 - 159,999",159999,155500.0,18.4,Full-time,F-Full-time Nonseasonal,Involontaire
11-01-19,55.0-59,59,13,BACHELORS,24,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"170,000 - 179,999",179999,176900.0,22.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,50.0-54,54,15,POST-BACHELORS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"160,000 - 169,999",169999,168400.0,13.3,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,30.0-34,34,13,BACHELORS,9,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"140,000 - 149,999",149999,148932.0,8.4,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,30.0-34,34,13,BACHELORS,4,White Collar,1035-PUBLIC AFFAIRS,Administrative,"80,000 - 89,999",89999,84879.0,3.5,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-20,30.0-34,34,4,,2,White Collar,2005-SUPPLY CLERICAL AND TECHNICIAN,Technical,"50,000 - 59,999",59999,53339.0,2.5,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-20,50.0-54,54,4,,9,White Collar,0856-ELECTRONICS TECHNICAL,Technical,"70,000 - 79,999",79999,73358.0,9.6,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-20,40.0-44,44,8,,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"60,000 - 69,999",69999,65488.0,5.0,Full-time,F-Full-time Nonseasonal,Autre
01-01-21,50.0-54,54,17,MASTERS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,123256.0,26.2,Full-time,F-Full-time Nonseasonal,Autre
08-01-21,>=65,65,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,81147.0,22.8,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-23,60.0-64,64,14,POST-BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,104272.0,20.8,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,60.0-64,64,13,BACHELORS,34,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,103309.0,34.3,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,55.0-59,59,9,,14,Blue Collar,2502-TELECOMMUNICATIONS MECHANIC,Blue Collar,"70,000 - 79,999",79999,75486.0,12.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,40.0-44,44,17,MASTERS,19,White Collar,0501-FINANCIAL ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,109898.0,15.0,Full-time,F-Full-time Nonseasonal,Autre
08-01-20,50.0-54,54,13,BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,116402.0,14.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,60.0-64,64,13,BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,115785.0,34.2,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-22,55.0-59,59,17,MASTERS,14,White Collar,1712-TRAINING INSTRUCTION,Administrative,"100,000 - 109,999",109999,103810.0,13.9,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,55.0-59,59,17,MASTERS,29,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"150,000 - 159,999",159999,159286.0,27.6,Full-time,F-Full-time Nonseasonal,Autre
04-01-22,55.0-59,59,10,BETWEEN HS & BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,121485.0,14.0,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,>=65,65,13,BACHELORS,24,White Collar,0080-SECURITY ADMINISTRATION,Administrative,"110,000 - 119,999",119999,117516.0,23.8,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,55.0-59,59,13,BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,91688.0,30.0,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,>=65,65,13,BACHELORS,19,White Collar,1910-QUALITY ASSURANCE,Administrative,"70,000 - 79,999",79999,79684.0,15.7,Full-time,F-Full-time Nonseasonal,Autre
01-01-22,55.0-59,59,10,BETWEEN HS & BACHELORS,34,White Collar,0132-INTELLIGENCE,Administrative,"170,000 - 179,999",179999,176300.0,32.6,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-20,>=65,65,17,MASTERS,14,White Collar,0341-ADMINISTRATIVE OFFICER,Administrative,"70,000 - 79,999",79999,71442.0,13.0,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-19,35.0-39,39,17,MASTERS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,85916.0,12.9,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,50.0-54,54,13,BACHELORS,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"100,000 - 109,999",109999,107803.0,17.6,Full-time,F-Full-time Nonseasonal,Autre
11-01-19,>=65,65,12,BETWEEN HS & BACHELORS,19,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"110,000 - 119,999",119999,115699.0,17.7,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,55.0-59,59,13,BACHELORS,34,White Collar,0560-BUDGET ANALYSIS,Administrative,"90,000 - 99,999",99999,95830.0,32.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-20,55.0-59,59,4,,24,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,77001.0,22.6,Full-time,F-Full-time Nonseasonal,Autre
05-01-22,>=65,65,13,BACHELORS,24,White Collar,1102-CONTRACTING,Professional,"140,000 - 149,999",149999,143495.0,20.2,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-19,50.0-54,54,13,BACHELORS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,109088.0,14.0,Full-time,F-Full-time Nonseasonal,Autre
11-01-21,55.0-59,59,17,MASTERS,19,White Collar,0201-HUMAN RESOURCES MANAGEMENT,Administrative,"110,000 - 119,999",119999,119620.0,18.6,Full-time,F-Full-time Nonseasonal,Autre
09-01-22,60.0-64,64,4,,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"120,000 - 129,999",129999,121152.0,17.7,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-21,55.0-59,59,10,BETWEEN HS & BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,80460.0,13.3,Full-time,F-Full-time Nonseasonal,Autre
01-01-23,50.0-54,54,17,MASTERS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,116785.0,14.2,Full-time,F-Full-time Nonseasonal,Autre
01-01-21,40.0-44,44,17,MASTERS,14,White Collar,1102-CONTRACTING,Professional,"80,000 - 89,999",89999,85650.0,11.9,Full-time,F-Full-time Nonseasonal,Autre
12-01-21,60.0-64,64,4,,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,81147.0,26.7,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-22,35.0-39,39,13,BACHELORS,9,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"80,000 - 89,999",89999,82443.0,6.3,Full-time,F-Full-time Nonseasonal,Autre
04-01-21,50.0-54,54,4,,2,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,90668.0,1.1,Full-time,F-Full-time Nonseasonal,Autre
08-01-22,45.0-49,49,11,BETWEEN HS & BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,98341.0,22.1,Full-time,F-Full-time Nonseasonal,Involontaire
01-01-21,55.0-59,59,4,,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,78954.0,10.8,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,55.0-59,59,17,MASTERS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,104934.0,15.9,Full-time,F-Full-time Nonseasonal,Involontaire
07-01-23,50.0-54,54,21,DOCTORATE,14,White Collar,1515-OPERATIONS RESEARCH,Professional,"130,000 - 139,999",139999,136894.0,10.4,Full-time,F-Full-time Nonseasonal,Autre
03-01-21,50.0-54,54,10,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,92713.0,9.6,Full-time,F-Full-time Nonseasonal,Autre
11-01-21,40.0-44,44,4,,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"70,000 - 79,999",79999,71116.0,10.3,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-20,40.0-44,44,13,BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,91796.0,8.8,Full-time,F-Full-time Nonseasonal,Autre
11-01-21,>=65,65,4,,9,White Collar,0391-TELECOMMUNICATIONS,Administrative,"80,000 - 89,999",89999,87304.0,9.4,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-20,30.0-34,34,4,,4,White Collar,11-30-82,Other White Collar,"60,000 - 69,999",69999,60918.0,3.9,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,45.0-49,49,17,MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,126390.0,8.8,Full-time,F-Full-time Nonseasonal,Autre
04-01-20,25.0-29,29,9,,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"60,000 - 69,999",69999,67224.0,5.8,Full-time,F-Full-time Nonseasonal,Autre
01-01-23,35.0-39,39,11,BETWEEN HS & BACHELORS,9,White Collar,2001-GENERAL SUPPLY,Technical,"100,000 - 109,999",109999,100183.0,8.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,45.0-49,49,17,MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,117302.0,8.1,Full-time,F-Full-time Nonseasonal,Autre
08-01-20,50.0-54,54,10,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,86952.0,5.6,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-19,45.0-49,49,13,BACHELORS,4,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,78034.0,4.7,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,60.0-64,64,4,,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,102957.0,5.9,Full-time,F-Full-time Nonseasonal,Autre
11-01-20,35.0-39,39,11,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,119775.0,5.3,Full-time,F-Full-time Nonseasonal,Autre
01-01-20,50.0-54,54,13,BACHELORS,4,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,94970.0,4.5,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-21,55.0-59,59,13,BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,88135.0,6.3,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-22,55.0-59,59,17,MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,114406.0,7.3,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-19,60.0-64,64,17,MASTERS,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"120,000 - 129,999",129999,122716.0,4.0,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-21,55.0-59,59,18,POST MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,132723.0,5.6,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-20,60.0-64,64,17,MASTERS,4,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"110,000 - 119,999",119999,112930.0,3.1,Full-time,F-Full-time Nonseasonal,Autre
07-01-22,35.0-39,39,10,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,85148.0,6.2,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-22,50.0-54,54,11,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,84941.0,5.6,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-22,40.0-44,44,10,BETWEEN HS & BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,122672.0,6.3,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-19,45.0-49,49,17,MASTERS,4,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,79569.0,3.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,40.0-44,44,13,BACHELORS,4,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"60,000 - 69,999",69999,61292.0,3.7,Full-time,F-Full-time Nonseasonal,Autre
07-01-20,45.0-49,49,4,,4,Blue Collar,2502-TELECOMMUNICATIONS MECHANIC,Blue Collar,"70,000 - 79,999",79999,78471.0,3.8,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-22,40.0-44,44,17,MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,82643.0,5.8,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,35.0-39,39,4,,9,White Collar,0391-TELECOMMUNICATIONS,Administrative,"70,000 - 79,999",79999,77598.0,5.9,Full-time,F-Full-time Nonseasonal,Autre
04-01-20,35.0-39,39,13,BACHELORS,4,White Collar,0132-INTELLIGENCE,Administrative,"120,000 - 129,999",129999,125360.0,3.2,Full-time,F-Full-time Nonseasonal,Autre
12-01-19,50.0-54,54,17,MASTERS,24,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,107372.0,20.2,Full-time,F-Full-time Nonseasonal,Autre
06-01-21,50.0-54,54,7,,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,105546.0,13.8,Full-time,F-Full-time Nonseasonal,Autre
10-01-20,60.0-64,64,4,,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,97848.0,31.0,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-22,55.0-59,59,13,BACHELORS,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"60,000 - 69,999",69999,68046.0,18.5,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-21,>=65,65,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,130661.0,24.0,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,>=65,65,4,,19,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"80,000 - 89,999",89999,89730.0,15.3,Full-time,F-Full-time Nonseasonal,Autre
02-01-23,30.0-34,34,18,POST MASTERS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,121239.0,13.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,60.0-64,64,4,,24,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"160,000 - 169,999",169999,162027.0,20.0,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-19,60.0-64,64,10,BETWEEN HS & BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,87494.0,17.3,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,40.0-44,44,17,MASTERS,19,White Collar,0854-COMPUTER ENGINEERING,Professional,"80,000 - 89,999",89999,89173.0,15.2,Full-time,F-Full-time Nonseasonal,Autre
04-01-22,60.0-64,64,10,BETWEEN HS & BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,82926.0,17.0,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,60.0-64,64,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"150,000 - 159,999",159999,155202.0,20.3,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,45.0-49,49,4,,14,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"90,000 - 99,999",99999,90923.0,12.4,Full-time,F-Full-time Nonseasonal,Autre
02-01-20,35.0-39,39,4,,2,White Collar,11-30-82,Other White Collar,"50,000 - 59,999",59999,53709.0,1.7,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-22,60.0-64,64,9,,19,White Collar,11-30-82,Other White Collar,"80,000 - 89,999",89999,85154.0,19.3,Full-time,F-Full-time Nonseasonal,Involontaire
07-01-22,60.0-64,64,9,,19,White Collar,11-30-82,Other White Collar,"80,000 - 89,999",89999,85154.0,19.3,Full-time,F-Full-time Nonseasonal,Volontaire
