DATE_SEPARATION,AGE_GROUP,AGE_VALUE,EDUCATION,EDUCATION_LEVEL,TEMPS_DE_SERVICE,POSTE_OCCUPATION_CTG,POSTE_OCCUPATION,OCCUPATION_CATEGORY,SALARY_LEVEL_CTG,SALARY_LEVEL,AVERAGE_SALARY,LENGTH_OF_SERVICE,WORK_SCHEDULE,WORK_SCHEDULE_CTG,SEPARATION_CATEGORY
12-01-20,55.0-59,59,13,BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,78168.0,16.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,60.0-64,64,13,BACHELORS,24,White Collar,1102-CONTRACTING,Professional,"120,000 - 129,999",129999,121039.0,21.3,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,50.0-54,54,17,MASTERS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,89947.0,8.9,Full-time,F-Full-time Nonseasonal,Autre
01-01-22,45.0-49,49,6,,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,120668.0,20.5,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,60.0-64,64,4,,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,109197.0,38.8,Full-time,F-Full-time Nonseasonal,Volontaire
06-01-22,60.0-64,64,13,BACHELORS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,127170.0,29.8,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,55.0-59,59,9,,34,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"80,000 - 89,999",89999,81358.0,31.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,60.0-64,64,17,MASTERS,19,White Collar,0201-HUMAN RESOURCES MANAGEMENT,Administrative,"60,000 - 69,999",69999,63848.0,17.0,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-20,60.0-64,64,10,BETWEEN HS & BACHELORS,34,White Collar,0394-COMMUNICATIONS CLERICAL,Clerical,"50,000 - 59,999",59999,57972.0,32.1,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,>=65,65,4,,35,White Collar,11-30-17,Clerical,"60,000 - 69,999",69999,65640.0,46.2,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-22,35.0-39,39,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,87407.0,21.2,Full-time,F-Full-time Nonseasonal,Autre
03-01-22,45.0-49,49,8,,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,85355.0,14.9,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,55.0-59,59,4,,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,78890.0,37.8,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-22,50.0-54,54,4,,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,105579.0,22.3,Full-time,F-Full-time Nonseasonal,Autre
03-01-21,>=65,65,10,BETWEEN HS & BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,100739.0,20.1,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-23,60.0-64,64,13,BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,101454.0,14.3,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,60.0-64,64,9,,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,95569.0,20.3,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-21,50.0-54,54,10,BETWEEN HS & BACHELORS,24,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"110,000 - 119,999",119999,117182.0,24.1,Full-time,F-Full-time Nonseasonal,Autre
12-01-19,>=65,65,13,BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,76191.0,15.2,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-22,45.0-49,49,10,BETWEEN HS & BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,116788.0,17.1,Full-time,F-Full-time Nonseasonal,Autre
03-01-20,45.0-49,49,17,MASTERS,14,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"70,000 - 79,999",79999,70409.0,13.4,Full-time,F-Full-time Nonseasonal,Autre
10-01-20,60.0-64,64,21,DOCTORATE,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,130541.0,15.8,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,45.0-49,49,17,MASTERS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,127942.0,15.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,60.0-64,64,4,,14,White Collar,2001-GENERAL SUPPLY,Technical,"60,000 - 69,999",69999,65809.0,14.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,>=65,65,13,BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,118812.0,35.3,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-20,50.0-54,54,12,BETWEEN HS & BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"70,000 - 79,999",79999,78168.0,15.2,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-20,60.0-64,64,12,BETWEEN HS & BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,86480.0,35.8,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,55.0-59,59,7,,19,Blue Collar,2502-TELECOMMUNICATIONS MECHANIC,Blue Collar,"60,000 - 69,999",69999,64363.0,15.4,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-22,55.0-59,59,13,BACHELORS,34,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"60,000 - 69,999",69999,67497.0,32.3,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-20,60.0-64,64,4,,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,112520.0,23.1,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-22,55.0-59,59,7,,35,White Collar,0560-BUDGET ANALYSIS,Administrative,"90,000 - 99,999",99999,90868.0,36.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,60.0-64,64,17,MASTERS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"140,000 - 149,999",149999,140632.0,25.3,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-21,>=65,65,14,POST-BACHELORS,24,White Collar,0344-MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE,Technical,"50,000 - 59,999",59999,53877.0,23.5,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-21,40.0-44,44,4,,24,White Collar,2001-GENERAL SUPPLY,Technical,"60,000 - 69,999",69999,69413.0,21.0,Full-time,F-Full-time Nonseasonal,Autre
04-01-22,50.0-54,54,4,,29,White Collar,0201-HUMAN RESOURCES MANAGEMENT,Administrative,"90,000 - 99,999",99999,98887.0,27.4,Full-time,F-Full-time Nonseasonal,Autre
12-01-22,>=65,65,17,MASTERS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,123939.0,41.8,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-23,60.0-64,64,11,BETWEEN HS & BACHELORS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,91113.0,28.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-22,>=65,65,13,BACHELORS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,102872.0,27.2,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-23,55.0-59,59,13,BACHELORS,19,White Collar,0854-COMPUTER ENGINEERING,Professional,"100,000 - 109,999",109999,109908.0,17.5,Full-time,F-Full-time Nonseasonal,Autre
04-01-23,60.0-64,64,13,BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,133176.0,35.7,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-20,60.0-64,64,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,97183.0,20.0,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-23,45.0-49,49,13,BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,88659.0,15.4,Full-time,F-Full-time Nonseasonal,Autre
03-01-22,60.0-64,64,13,BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,87237.0,40.5,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-22,60.0-64,64,9,,4,White Collar,0391-TELECOMMUNICATIONS,Administrative,"90,000 - 99,999",99999,90457.0,3.0,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-22,55.0-59,59,13,BACHELORS,29,White Collar,0510-ACCOUNTING,Professional,"90,000 - 99,999",99999,92593.0,25.7,Full-time,F-Full-time Nonseasonal,Involontaire
02-01-20,40.0-44,44,6,,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,112930.0,14.6,Full-time,F-Full-time Nonseasonal,Autre
09-01-20,35.0-39,39,17,MASTERS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,84682.0,12.2,Full-time,F-Full-time Nonseasonal,Involontaire
10-01-19,35.0-39,39,17,MASTERS,14,White Collar,1550-COMPUTER SCIENCE,Professional,"100,000 - 109,999",109999,108316.0,11.7,Full-time,F-Full-time Nonseasonal,Autre
01-01-20,35.0-39,39,10,BETWEEN HS & BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,99741.0,11.6,Full-time,F-Full-time Nonseasonal,Autre
12-01-21,>=65,65,8,,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,106620.0,22.5,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-21,30.0-34,34,13,BACHELORS,2,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,83959.0,2.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,60.0-64,64,13,BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,110902.0,17.3,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-23,60.0-64,64,4,,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"80,000 - 89,999",89999,88795.0,18.3,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-23,45.0-49,49,10,BETWEEN HS & BACHELORS,24,White Collar,0560-BUDGET ANALYSIS,Administrative,"120,000 - 129,999",129999,122459.0,21.6,Full-time,F-Full-time Nonseasonal,Autre
10-01-19,>=65,65,10,BETWEEN HS & BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,82542.0,44.2,Full-time,F-Full-time Nonseasonal,Volontaire
05-01-23,45.0-49,49,13,BACHELORS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,118194.0,20.6,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-22,35.0-39,39,13,BACHELORS,14,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"80,000 - 89,999",89999,80685.0,14.1,Full-time,F-Full-time Nonseasonal,Autre
12-01-20,55.0-59,59,7,,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,133465.0,34.2,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-21,60.0-64,64,4,,19,Blue Collar,2502-TELECOMMUNICATIONS MECHANIC,Blue Collar,"50,000 - 59,999",59999,56724.0,15.4,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-21,55.0-59,59,13,BACHELORS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"140,000 - 149,999",149999,145955.0,27.1,Full-time,F-Full-time Nonseasonal,Autre
03-01-21,>=65,65,12,BETWEEN HS & BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,121068.0,15.7,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-23,45.0-49,49,17,MASTERS,19,White Collar,11-30-82,Other White Collar,"60,000 - 69,999",69999,63716.0,18.9,Full-time,F-Full-time Nonseasonal,Autre
10-01-19,35.0-39,39,13,BACHELORS,24,White Collar,0501-FINANCIAL ADMINISTRATION AND PROGRAM,Administrative,"80,000 - 89,999",89999,83398.0,22.3,Full-time,F-Full-time Nonseasonal,Autre
12-01-21,55.0-59,59,17,MASTERS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,121068.0,31.5,Full-time,F-Full-time Nonseasonal,Volontaire
11-01-20,55.0-59,59,13,BACHELORS,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"70,000 - 79,999",79999,70579.0,15.8,Full-time,F-Full-time Nonseasonal,Autre
12-01-21,55.0-59,59,7,,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,139394.0,34.9,Full-time,F-Full-time Nonseasonal,Volontaire
06-01-22,>=65,65,13,BACHELORS,29,White Collar,0854-COMPUTER ENGINEERING,Professional,"120,000 - 129,999",129999,123939.0,26.2,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-21,60.0-64,64,4,,19,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"90,000 - 99,999",99999,95572.0,15.9,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,60.0-64,64,4,,24,White Collar,11-30-82,Other White Collar,"70,000 - 79,999",79999,70330.0,20.1,Full-time,F-Full-time Nonseasonal,Autre
02-01-23,40.0-44,44,13,BACHELORS,19,White Collar,0080-SECURITY ADMINISTRATION,Administrative,"110,000 - 119,999",119999,113449.0,15.3,Full-time,F-Full-time Nonseasonal,Autre
11-01-19,>=65,65,17,MASTERS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,121110.0,40.3,Full-time,F-Full-time Nonseasonal,Volontaire
06-01-22,50.0-54,54,4,,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,122683.0,26.7,Full-time,F-Full-time Nonseasonal,Autre
08-01-23,45.0-49,49,17,MASTERS,24,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,139670.0,24.1,Full-time,F-Full-time Nonseasonal,Autre
01-01-22,>=65,65,4,,29,White Collar,0856-ELECTRONICS TECHNICAL,Technical,"110,000 - 119,999",119999,110798.0,26.1,Full-time,F-Full-time Nonseasonal,Volontaire
02-01-20,60.0-64,64,17,MASTERS,14,White Collar,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,Administrative,"100,000 - 109,999",109999,105290.0,11.5,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-19,60.0-64,64,10,BETWEEN HS & BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"90,000 - 99,999",99999,92224.0,34.9,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-20,55.0-59,59,16,POST-BACHELORS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,102288.0,18.8,Full-time,F-Full-time Nonseasonal,Autre
01-01-21,55.0-59,59,8,,19,White Collar,0391-TELECOMMUNICATIONS,Administrative,"150,000 - 159,999",159999,159286.0,18.8,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-20,60.0-64,64,13,BACHELORS,34,White Collar,0018-SAFETY AND OCCUPATIONAL HEALTH MANAGEMENT,Administrative,"120,000 - 129,999",129999,126620.0,31.8,Full-time,F-Full-time Nonseasonal,Volontaire
10-01-20,45.0-49,49,17,MASTERS,19,White Collar,1550-COMPUTER SCIENCE,Professional,"120,000 - 129,999",129999,125659.0,16.3,Full-time,F-Full-time Nonseasonal,Autre
09-01-21,55.0-59,59,4,,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,106317.0,38.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,>=65,65,17,MASTERS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,111449.0,16.5,Full-time,F-Full-time Nonseasonal,Involontaire
12-01-21,30.0-34,34,13,BACHELORS,9,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"60,000 - 69,999",69999,63902.0,6.1,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-21,55.0-59,59,17,MASTERS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,104429.0,17.2,Full-time,F-Full-time Nonseasonal,Autre
11-01-19,45.0-49,49,13,BACHELORS,14,White Collar,0260-EQUAL EMPLOYMENT OPPORTUNITY,Administrative,"100,000 - 109,999",109999,109088.0,11.3,Full-time,F-Full-time Nonseasonal,Autre
07-01-20,55.0-59,59,13,BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"140,000 - 149,999",149999,149621.0,34.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-20,60.0-64,64,4,,34,Blue Collar,6907-MATERIALS HANDLER,Blue Collar,"40,000 - 49,999",49999,44849.0,31.1,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-20,60.0-64,64,9,,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,128920.0,42.3,Full-time,F-Full-time Nonseasonal,Volontaire
01-01-23,50.0-54,54,10,BETWEEN HS & BACHELORS,35,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"120,000 - 129,999",129999,123041.0,36.8,Full-time,F-Full-time Nonseasonal,Autre
08-01-21,60.0-64,64,13,BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"130,000 - 139,999",139999,134798.0,34.9,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-23,55.0-59,59,17,MASTERS,19,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,104919.0,15.0,Full-time,F-Full-time Nonseasonal,Autre
09-01-22,45.0-49,49,13,BACHELORS,14,White Collar,0080-SECURITY ADMINISTRATION,Administrative,"90,000 - 99,999",99999,96214.0,14.9,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-23,50.0-54,54,13,BACHELORS,19,White Collar,0132-INTELLIGENCE,Administrative,"140,000 - 149,999",149999,145890.0,19.0,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-21,55.0-59,59,13,BACHELORS,34,White Collar,0855-ELECTRONICS ENGINEERING,Professional,"130,000 - 139,999",139999,132058.0,30.6,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-20,60.0-64,64,17,MASTERS,14,White Collar,2001-GENERAL SUPPLY,Technical,"50,000 - 59,999",59999,58195.0,13.2,Full-time,F-Full-time Nonseasonal,Volontaire
12-01-19,60.0-64,64,7,,35,White Collar,0343-MANAGEMENT AND PROGRAM ANALYSIS,Administrative,"120,000 - 129,999",129999,128920.0,35.0,Full-time,F-Full-time Nonseasonal,Volontaire
09-01-21,60.0-64,64,7,,29,White Collar,0391-TELECOMMUNICATIONS,Administrative,"80,000 - 89,999",89999,89646.0,28.3,Full-time,F-Full-time Nonseasonal,Volontaire
03-01-21,60.0-64,64,10,BETWEEN HS & BACHELORS,29,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"110,000 - 119,999",119999,112563.0,29.8,Full-time,F-Full-time Nonseasonal,Volontaire
08-01-22,55.0-59,59,10,BETWEEN HS & BACHELORS,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,109924.0,34.0,Full-time,F-Full-time Nonseasonal,Volontaire
07-01-20,60.0-64,64,7,,34,White Collar,2210-INFORMATION TECHNOLOGY MANAGEMENT,Administrative,"100,000 - 109,999",109999,103605.0,33.7,Full-time,F-Full-time Nonseasonal,Volontaire
04-01-22,60.0-64,64,10,BETWEEN HS & BACHELORS,34,White Collar,2005-SUPPLY CLERICAL AND TECHNICIAN,Technical,"70,000 - 79,999",79999,73513.0,31.6,Full-time,F-Full-time Nonseasonal,Volontaire
